sentiment,id,timestamp,query,username,text,cleaned_text,relevance_score,stress_terms_found,educational_terms_found,age_terms_found,slang_terms_found,stress_term_count,educational_term_count,age_term_count,slang_term_count
,1469471155,Tue Apr 07 06:29:03 PDT 2009,,pinniebunnie,work work n more work with the occasional moan from a very moody teenager!!!!!! I h8 the school holidays ,work work n more work with the occasional moan from a very moody teenager i h the school holidays,0.55,none,school,"teen, teenage",none,0,1,2,0
,1564113509,Mon Apr 20 01:50:39 PDT 2009,,trishlim,It's going to be exams again and Ethan is NOT doing much. I'm more stressed than him leh! And I'm breaking out like a teenager ,its going to be exams again and ethan is not doing much im more stressed than him leh and im breaking out like a teenager,0.7,stress,exam,"teen, teenage",none,1,1,2,0
,1573195265,Tue Apr 21 00:06:13 PDT 2009,,GreenEyesCry,"is waiting for prom to be over and done with, enough with all the drama!  You might think its easy, but being a teenage is stressful... ",is waiting for prom to be over and done with enough with all the drama you might think its easy but being a teenage is stressful,0.55,stress,none,"teen, teenage",none,1,0,2,0
,1678629967,Sat May 02 07:17:22 PDT 2009,,BStewnog,@chrisfromcanada We're moving in the summer so kids can finish the schoolyear. I'm excited but our teenager doesn't want to leave Toronto ,chrisfromcanada were moving in the summer so kids can finish the schoolyear im excited but our teenager doesnt want to leave toronto,0.55,none,school,"teen, teenage",none,0,1,2,0
,1692010753,Sun May 03 19:05:13 PDT 2009,,thepetshopboy,@trekkerguy perfect example of why the studio system is gearing film towards the teenage demographic...low standards &amp; easily satiated ,trekkerguy perfect example of why the studio system is gearing film towards the teenage demographiclow standards amp easily satiated,0.55,none,exam,"teen, teenage",none,0,1,2,0
,1823149109,Sat May 16 21:14:01 PDT 2009,,JanellyBean,gee I'm always tired on the weekend... want to be out with my man but he has to work!  hate being a teenager! haha SOMETIMES!,gee im always tired on the weekend want to be out with my man but he has to work hate being a teenager haha sometimes,0.55,tired,none,"teen, teenage",none,1,0,2,0
,1824404714,Sun May 17 01:14:15 PDT 2009,,kittyprydex,Sorry I missed Vector again   I'm not making a good effort.  I'm just exhausted after running around after teenagers.,sorry i missed vector again im not making a good effort im just exhausted after running around after teenagers,0.55,exhausted,none,"teen, teenage",none,1,0,2,0
,1830568424,Sun May 17 17:07:05 PDT 2009,,clarefully,"@teenagevows YEAH BECAUSE WE'RE TAKING THEM ON THE MAKEUP DAYS. AS IN I MISS THEM, I FAIL MY CLASS. ",teenagevows yeah because were taking them on the makeup days as in i miss them i fail my class,0.55,none,class,"teen, teenage",none,0,1,2,0
0.0,1880911604,Fri May 22 02:56:40 PDT 2009,,ctmini27,It's Friday!!! That seemed like the fastest week ever. I missed so much last night   there's no drama like teenage drama!,its friday that seemed like the fastest week ever i missed so much last night theres no drama like teenage drama,0.55,none,test,"teen, teenage",none,0,1,2,0
0.0,1967186185,Fri May 29 19:07:36 PDT 2009,,thebrandonallen,Just saw the greatest d.t.m. (dirty teenage moustache)... on a 40+ year old. Wasn't able to snag a photo  #moustachefail,just saw the greatest dtm dirty teenage moustache on a year old wasnt able to snag a photo moustachefail,0.55,none,test,"teen, teenage",none,0,1,2,0
